name,type,city,district,address,longitude,latitude,capacity,evaluate_year,evaluation_type,evaluation_result,rating_amount,rating_score,rating_average,google
基隆市仁愛區仁愛國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區仁二路139號,121.7462697,25.1278698,120,104學年度,基礎評鑑,全數指標通過基礎評鑑,50,160,3.2,2.3
基隆市仁愛區南榮國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區南榮路321號,121.744164,25.1190551,45,105學年度,基礎評鑑,全數指標通過基礎評鑑,42,130,3.095238095,3.5
基隆市仁愛區成功國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區獅球路6號,121.73814,25.1254865,90,104學年度,基礎評鑑,全數指標通過基礎評鑑,8,40,5,3.7
基隆市仁愛區尚智國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區龍安街326號,121.742057,25.12054,30,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,21,95,4.523809524,2.7
基隆市信義區信義國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區仁二路135號,121.7469015,25.1274807,60,103學年度,基礎評鑑,全數指標通過基礎評鑑,17,48,2.823529412,5
基隆市立安心幼兒園光華分班,公立,基隆市,仁愛區,基隆市仁愛區成功一路131號1樓,121.7361981,25.1286406,200,103學年度,基礎評鑑,全數指標通過基礎評鑑,12,46,3.833333333,2.4
基隆市私立吉的堡仁愛幼兒園,私立,基隆市,仁愛區,基隆市仁愛區仁一路261之8號及261之1號2樓之1,121.7485114,25.1282337,87,105學年度,基礎評鑑,全數指標通過基礎評鑑,42,160,3.80952381,2.8
基隆市私立維也納幼兒園,私立,基隆市,仁愛區,基隆市仁愛區南榮路22號2樓,121.742598,25.125651,90,104學年度,基礎評鑑,全數指標通過基礎評鑑,50,145,2.9,2.8
基隆市私立雙全幼兒園,私立,基隆市,仁愛區,基隆市仁愛區南榮路393巷19之1號,121.744705,25.118424,100,104學年度,基礎評鑑,全數指標通過基礎評鑑,44,79,1.795454545,4.8
基隆市私立筌勝幼兒園,私立,基隆市,仁愛區,基隆市仁愛區愛五路19巷34號,121.745063,25.12905,35,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,47,122,2.595744681,0.3
基隆市信義區東光國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區東信路236巷16號,121.7629749,25.1295784,45,107學年度,基礎評鑑,全數指標通過基礎評鑑,50,160,3.2,3.9
基隆市信義區東信國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區正信路26號,121.7602397,25.1312703,90,105學年度,基礎評鑑,全數指標通過基礎評鑑,36,86,2.388888889,4.4
基隆市信義區中興國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區信二路40號,121.7570568,25.1304352,60,103學年度,基礎評鑑,全數指標通過基礎評鑑,48,230,4.791666667,3.8
基隆市信義區深澳國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區深澳坑路55-1號,121.7832959,25.1291718,106,103學年度,基礎評鑑,全數指標通過基礎評鑑,35,175,5,4.3
基隆市信義區深美國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區深美街198號,121.778441,25.137193,60,107學年度,基礎評鑑,全數指標通過基礎評鑑,15,41,2.733333333,3
基隆市信義區月眉國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區月眉路250巷22號,121.7568807,25.1251337,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,22,81,3.681818182,3.7
基隆市私立新美幼兒園,私立,基隆市,信義區,基隆市信義區深溪路41號1-4樓,121.7820099,25.13212,36,105學年度,基礎評鑑,全數指標通過基礎評鑑,46,133,2.891304348,2.6
基隆市私立道生幼兒園,私立,基隆市,信義區,基隆市信義區東光路261-17號,121.7695719,25.131997,150,104學年度,基礎評鑑,全數指標通過基礎評鑑,6,17,2.833333333,4
基隆市私立柴爾德幼兒園,私立,基隆市,信義區,基隆市信義區仁一路27號3樓之1、2,121.755262,25.127872,30,104學年度,基礎評鑑,全數指標通過基礎評鑑,43,211,4.906976744,2.7
基隆市私立哈博士幼兒園,私立,基隆市,信義區,基隆市信義區深美街175號1-3樓,121.7777243,25.1368753,120,107學年度,基礎評鑑,全數指標通過基礎評鑑,40,168,4.2,2.9
財團法人天主教會臺北教區基隆市私立若石幼兒園,私立,基隆市,信義區,基隆市信義區信一路66號,121.7521489,25.1287228,300,107學年度,基礎評鑑,全數指標通過基礎評鑑,18,74,4.111111111,3.5
基隆市私立培利園幼兒園,私立,基隆市,信義區,基隆市信義區深溪路55巷48號,121.7816454,25.1328327,120,105學年度,基礎評鑑,全數指標通過基礎評鑑,16,66,4.125,4.3
基隆市私立慈愛幼兒園,私立,基隆市,信義區,基隆市信義區深澳坑路172巷44之32號,121.787084,25.124641,20,104學年度,基礎評鑑,全數指標通過基礎評鑑,34,109,3.205882353,4.1
基隆市私立喬傑利幼兒園,私立,基隆市,信義區,基隆市信義區仁一路37巷9號3樓,121.755123,25.127317,28,103學年度,追蹤評鑑,全數指標通過追蹤評鑑,46,193,4.195652174,2.9
基隆市私立吉的堡深美幼兒園,私立,基隆市,信義區,基隆市信義區深溪路141、143、145號,121.7825334,25.1346342,134,104學年度,基礎評鑑,全數指標通過基礎評鑑,27,76,2.814814815,2.4
基隆市私立啟賢幼兒園,私立,基隆市,信義區,"基隆市信義區正信路24之54號,24之55號",121.7616176,25.1317283,30,104學年度,基礎評鑑,全數指標通過基礎評鑑,13,47,3.615384615,2
基隆市私立嘉美幼兒園,私立,基隆市,信義區,基隆市信義區深溪路66號1-3樓,121.7823892,25.1325987,33,103學年度,基礎評鑑,全數指標通過基礎評鑑,26,117,4.5,3.1
基隆市私立薇莘幼兒園,私立,基隆市,信義區,基隆市信義區孝東路108號1樓,121.7770181,25.1280514,150,無評鑑資料,無評鑑資料,無評鑑資料,20,62,3.1,3.4
社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園,非營利,基隆市,信義區,基隆市信義區東信路4號,121.768517,25.128819,106,無評鑑資料,無評鑑資料,無評鑑資料,3,10,3.333333333,3.6
基隆市中正區和平國民小學附設幼兒園,公立,基隆市,中正區,基隆市中正區和一路84巷26號,121.7660669,25.1556504,60,104學年度,基礎評鑑,全數指標通過基礎評鑑,42,172,4.095238095,4.4
基隆市中正區正濱國民小學附設幼兒園,公立,基隆市,中正區,基隆市中正區祥豐街216號,121.7706334,25.1466438,90,104學年度,基礎評鑑,全數指標通過基礎評鑑,32,112,3.5,4.4
