name,type,city,district,address,longitude,latitude,capacity
基隆市仁愛區仁愛國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區仁愛國民小學附設幼兒園 [200]仁二路139號,121.7462697,25.1278698,120
基隆市仁愛區南榮國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區南榮國民小學附設幼兒園 [200]南榮路321號,121.744164,25.1190551,45
基隆市仁愛區成功國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區成功國民小學附設幼兒園 [200]獅球路6號,121.73814,25.1254865,90
基隆市仁愛區尚智國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市仁愛區尚智國民小學附設幼兒園 [200]龍安街326號,121.742057,25.12054,30
基隆市信義區信義國民小學附設幼兒園,公立,基隆市,仁愛區,基隆市信義區信義國民小學附設幼兒園 [200]仁二路135號,121.7469015,25.1274807,60
基隆市立安心幼兒園光華分班,公立,基隆市,仁愛區,基隆市立安心幼兒園光華分班 [200]成功一路131號1樓,121.7361981,25.1286406,200
基隆市私立吉的堡仁愛幼兒園,私立,基隆市,仁愛區,基隆市私立吉的堡仁愛幼兒園 [200]仁一路261之8號及261之1號2樓之1,121.7485114,25.1282337,87
基隆市私立維也納幼兒園,私立,基隆市,仁愛區,基隆市私立維也納幼兒園 [200]南榮路22號2樓,121.742598,25.125651,90
基隆市私立雙全幼兒園,私立,基隆市,仁愛區,基隆市私立雙全幼兒園 [200]南榮路393巷19之1號,121.744705,25.118424,100
基隆市私立筌勝幼兒園,私立,基隆市,仁愛區,基隆市私立筌勝幼兒園 [200]愛五路19巷34號,121.745063,25.12905,35
基隆市信義區東光國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區東光國民小學附設幼兒園 [201]東信路236巷16號,121.7629749,25.1295784,45
基隆市信義區東信國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區東信國民小學附設幼兒園 [201]正信路26號,121.7602397,25.1312703,90
基隆市信義區中興國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區中興國民小學附設幼兒園 [201]信二路40號,121.7570568,25.1304352,60
基隆市信義區深澳國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區深澳國民小學附設幼兒園 [201]深澳坑路55-1號,121.7832959,25.1291718,106
基隆市信義區深美國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區深美國民小學附設幼兒園 [201]深美街198號,121.778441,25.137193,60
基隆市信義區月眉國民小學附設幼兒園,公立,基隆市,信義區,基隆市信義區月眉國民小學附設幼兒園 [201]月眉路250巷22號,121.7568807,25.1251337,30
基隆市私立新美幼兒園,私立,基隆市,信義區,基隆市私立新美幼兒園 [201]深溪路41號1-4樓,121.7820099,25.13212,36
基隆市私立道生幼兒園,私立,基隆市,信義區,基隆市私立道生幼兒園 [201]東光路261-17號,121.7695719,25.131997,150
基隆市私立柴爾德幼兒園,私立,基隆市,信義區,基隆市私立柴爾德幼兒園 [201]仁一路27號3樓之1、2,121.755262,25.127872,30
基隆市私立哈博士幼兒園,私立,基隆市,信義區,基隆市私立哈博士幼兒園 [201]深美街175號1-3樓,121.7777243,25.1368753,120
財團法人天主教會臺北教區基隆市私立若石幼兒園,私立,基隆市,信義區,財團法人天主教會臺北教區基隆市私立若石幼兒園 [201]信一路66號,121.7521489,25.1287228,300
基隆市私立培利園幼兒園,私立,基隆市,信義區,基隆市私立培利園幼兒園 [201]深溪路55巷48號,121.7816454,25.1328327,120
