name,level,type,city,district,address,longitude,latitude,rating_amount,rating_score,rating_average,google
社團法人高雄市愛家倍照顧關懷協會附設高雄市私立愛家倍居家式服務類長期照顧服務機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區五甲一路249號,120.3546677,22.61755943,50,160,3.2,2.3
財團法人高雄市私立萃文書院社會福利慈善事業基金會,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區平等路174號,120.3511505,22.62039757,42,130,3.095238095,3.5
社團法人高雄市愛耆扶慈善關懷協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區誠德里誠體街68號,120.378067,22.62315369,8,40,5,3.7
有限責任高雄市協和照顧服務勞動合作社,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鎮西里信義街50號,120.3547287,22.62736893,21,95,4.523809524,2.7
高雄市立鳳山醫院,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區經武路42號B1,120.3627853,22.62882996,17,48,2.823529412,5
杏和醫院附設護理之家,B,喘息服務,高雄市,鳳山區,高雄市鳳山區五甲二路470號2-7樓,120.3351669,22.5977211,12,46,3.833333333,2.4
社團法人高雄市臨床心理師公會,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區文衡路490號2樓,120.3466949,22.64165306,42,160,3.80952381,2.8
惠德醫院附設居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區福祥街81號6樓,120.325119,22.59210396,50,145,2.9,2.8
惠德醫院附設護理之家,B,喘息服務,高雄市,鳳山區,高雄市鳳山區福祥街81號3、4、5樓,120.325119,22.59210396,44,79,1.795454545,4.8
社團法人高雄市新月社會福利發展協會附設高雄市私立新月居家式服務類長期照顧服務機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鳳頂路441號,120.3626099,22.60781097,47,122,2.595744681,0.3
杏和醫院附設居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區五甲二路470號1樓,120.3351669,22.5977211,50,160,3.2,3.9
樂達物理治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區國泰路二段57號1樓,120.3483963,22.61890984,36,86,2.388888889,4.4
永達居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區青年路二段572號4樓,120.3491898,22.6460743,48,230,4.791666667,3.8
中華民國紅十字會新高雄分會附設私立紅十字居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687,22.6245327,35,175,5,4.3
巧鈊居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區誠和路109號,120.3574753,22.61127472,15,41,2.733333333,3
高雄市私立快樂家族老人長期照顧中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區經武路85之20號,120.3622589,22.62789345,22,81,3.681818182,3.7
靜嫻復康職能治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區工協街39號,120.3709869,22.62999916,46,133,2.891304348,2.6
社團法人高雄市活泉愛鄰社區服務協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區誠義里誠東街1號,120.3625031,22.61109924,6,17,2.833333333,4
高雄市照服員成長關懷協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區文華里文化路53號,120.3561325,22.63361931,43,211,4.906976744,2.7
高雄市私立鎮北里社區式,B,家庭托顧服務,高雄市,鳳山區,高雄市鳳山區北盛街9巷2弄3號,120.366951,22.64257622,40,168,4.2,2.9
高雄市私立青園老人長期照顧中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鳳頂路56號,120.3590622,22.58613205,18,74,4.111111111,3.5
高雄市私立一把罩社區式,B,家庭托顧服務,高雄市,鳳山區,高雄市鳳山區文德濱山街2號,120.3506927,22.64518166,16,66,4.125,4.3
社團法人高雄市長期照顧人員福利促進協會,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區中和里信義街303號,120.3480988,22.62695122,34,109,3.205882353,4.1
社團法人台灣高齡照顧協會附設高雄市私立台灣高齡社區式服務類長期照顧服務機構,B,日間照顧服務,高雄市,鳳山區,高雄市鳳山區中山西路127號,120.3516846,22.62708282,46,193,4.195652174,2.9
高雄市私立安祥老人養護中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區南京路49巷6號,120.3449173,22.60713196,27,76,2.814814815,2.4
社團法人高雄市協和社會福利協會附設高雄市私立宏愛居家式服務類長期照顧服務機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區信義街50號,120.3547287,22.62736893,13,47,3.615384615,2
