name,level,type,city,district,address,longitude,latitude
社團法人高雄市愛家倍照顧關懷協會附設高雄市私立愛家倍居家式服務類長期照顧服務機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區五甲一路249號,120.3546677,22.61755943
財團法人高雄市私立萃文書院社會福利慈善事業基金會,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區平等路174號,120.3511505,22.62039757
社團法人高雄市愛耆扶慈善關懷協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區誠德里誠體街68號,120.378067,22.62315369
有限責任高雄市協和照顧服務勞動合作社,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鎮西里信義街50號,120.3547287,22.62736893
高雄市立鳳山醫院,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區經武路42號B1,120.3627853,22.62882996
杏和醫院附設護理之家,B,喘息服務,高雄市,鳳山區,高雄市鳳山區五甲二路470號2-7樓,120.3351669,22.5977211
社團法人高雄市臨床心理師公會,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區文衡路490號2樓,120.3466949,22.64165306
高雄市立鳳山醫院,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區經武路42號,120.3627853,22.62882996
惠德醫院附設居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區福祥街81號6樓,120.325119,22.59210396
惠德醫院附設護理之家,B,喘息服務,高雄市,鳳山區,高雄市鳳山區福祥街81號3、4、5樓,120.325119,22.59210396
社團法人高雄市新月社會福利發展協會附設高雄市私立新月居家式服務類長期照顧服務機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鳳頂路441號,120.3626099,22.60781097
杏和醫院附設居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區五甲二路470號1樓,120.3351669,22.5977211
樂達物理治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區國泰路二段57號1樓,120.3483963,22.61890984
永達居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區青年路二段572號4樓,120.3491898,22.6460743
中華民國紅十字會新高雄分會附設私立紅十字居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687,22.6245327
巧鈊居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區誠和路109號,120.3574753,22.61127472
高雄市私立快樂家族老人長期照顧中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區經武路85之20號,120.3622589,22.62789345
靜嫻復康職能治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區工協街39號,120.3709869,22.62999916
社團法人高雄市活泉愛鄰社區服務協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區誠義里誠東街1號,120.3625031,22.61109924
社團法人高雄市愛耆扶慈善關懷協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區誠德里誠體街68號,120.378067,22.62315369
