TOWN_NAME,TOWN_ID,year_99,year_100,year_101,year_102,year_103,year_104,year_105,year_106,year_107,year_108,year_109,year_110,year_111,year_112,year_113,year_114,year_115,year_116,year_117,year_118
連江縣南竿鄉,9007010,80,86,91,99,102,106,109,114,121,131,134,136,149,149,149,161,178,195,197,228
連江縣北竿鄉,9007020,26,27,29,32,36,37,40,44,49,52,54,54,54,62,68,68,68,73,78,78
連江縣莒光鄉,9007030,23,23,26,27,27,27,29,31,33,35,38,39,39,39,41,41,41,41,41,46
連江縣東引鄉,9007040,11,11,11,12,13,14,14,15,17,18,21,21,22,22,22,23,23,24,24,25
金門縣金城鎮,9020010,530,570,601,631,664,693,724,794,848,922,935,963,972,994,994,1023,1014,1086,1086,1086
金門縣金沙鎮,9020020,326,340,350,367,384,393,408,435,459,487,515,523,526,530,531,576,580,576,576,586
金門縣金湖鎮,9020030,345,375,393,412,435,459,482,522,555,590,606,615,616,701,758,764,810,810,831,835
金門縣金寧鄉,9020040,338,353,369,389,413,428,451,498,524,571,588,606,617,621,621,622,622,622,646,644
金門縣烈嶼鄉,9020050,205,213,216,225,237,244,247,266,274,290,319,319,321,361,362,362,383,399,402,407
宜蘭縣宜蘭市,10002010,1637,1657,1714,1748,1805,1870,1934,2031,2122,2201,2211,2246,2264,2271,2306,2353,2536,2505,2505,2522
宜蘭縣羅東鎮,10002020,1235,1252,1267,1303,1348,1402,1451,1553,1628,1698,1658,1693,1763,1765,1804,1857,1875,1969,1969,1998
宜蘭縣蘇澳鎮,10002030,953,951,958,972,987,1015,1034,1079,1110,1139,1160,1190,1236,1276,1301,1322,1360,1410,1445,1464
宜蘭縣頭城鎮,10002040,679,678,675,686,695,703,718,731,751,770,781,794,804,815,825,835,846,856,867,878
宜蘭縣礁溪鄉,10002050,779,784,784,794,812,831,855,890,925,947,961,966,980,1002,1018,1033,1154,1081,1191,1192
宜蘭縣壯圍鄉,10002060,531,532,531,534,540,545,559,576,594,614,651,659,681,703,719,731,731,738,799,799
宜蘭縣員山鄉,10002070,718,718,701,702,709,721,741,767,782,806,807,819,828,847,863,883,897,912,923,938
宜蘭縣冬山鄉,10002080,1020,1031,1034,1055,1074,1107,1138,1197,1248,1302,1294,1294,1391,1391,1461,1468,1473,1493,1516,1540
宜蘭縣五結鄉,10002090,782,788,796,808,827,850,873,912,947,985,972,1018,1038,1045,1014,1047,1048,1063,1043,1069
宜蘭縣三星鄉,10002100,555,556,554,555,563,575,585,605,621,637,654,671,688,703,718,731,742,753,762,770
宜蘭縣大同鄉,10002110,80,78,80,79,81,81,83,84,87,91,96,96,101,101,109,116,132,132,132,134
